<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	80.145	80.755	79.631	80.647	73505	0	11
2013.06.04	80.644	80.728	79.700	80.339	68017	0	11
2013.06.05	80.339	80.740	78.516	78.870	79368	0	11
2013.06.06	78.868	79.077	77.344	77.688	94640	0	38
2013.06.07	77.674	77.896	75.752	76.817	107402	0	38
2013.06.10	76.979	78.389	76.746	78.041	80453	0	38
2013.06.11	78.040	78.062	75.082	75.850	103263	0	38
2013.06.12	75.844	77.484	75.780	76.284	94451	0	38
2013.06.13	76.283	77.526	74.439	77.185	108765	0	11
2013.06.14	77.185	77.418	75.430	75.430	74489	0	11
2013.06.17	75.962	76.979	75.394	75.604	57474	0	11
2013.06.18	75.599	76.573	75.475	76.258	62382	0	11
2013.06.19	76.260	76.807	75.812	75.993	70503	0	11
2013.06.20	75.994	76.765	75.065	75.304	94509	0	11
2013.06.21	75.303	76.242	75.037	75.748	70636	0	11
2013.06.24	76.367	76.424	75.311	75.915	83295	0	11
2013.06.25	75.915	76.045	75.045	75.828	82099	0	11
2013.06.26	75.829	76.652	75.284	76.014	76548	0	11
2013.06.27	76.013	77.112	75.885	76.762	73623	0	38
2013.06.28	76.761	77.290	76.455	76.584	71509	0	38
2013.07.01	77.030	78.049	76.775	77.965	55370	0	11
2013.07.02	77.965	78.165	77.402	78.035	64442	0	11
2013.07.03	78.030	78.250	76.888	77.776	75475	0	11
2013.07.04	77.795	78.620	77.386	78.475	59311	0	11
2013.07.05	78.481	78.825	77.534	77.945	58225	0	11
2013.07.08	78.135	79.021	77.915	78.580	53051	0	11
2013.07.09	78.580	79.740	78.423	79.190	60259	0	11
2013.07.10	79.188	79.601	77.780	78.399	82077	0	11
2013.07.11	78.390	78.908	76.682	77.480	81726	0	11
2013.07.12	77.485	78.040	76.975	76.982	55310	0	11
2013.07.15	77.387	78.137	77.234	77.955	55695	0	11
2013.07.16	77.955	78.473	77.902	78.300	63123	0	11
2013.07.17	78.300	78.876	78.021	78.710	69999	0	11
2013.07.18	78.705	79.537	78.466	79.495	65692	0	3
2013.07.19	79.495	80.074	78.985	79.281	61833	0	4
2013.07.22	79.640	79.643	78.972	79.195	63786	0	8
2013.07.23	79.195	79.830	79.075	79.550	62581	0	5
2013.07.24	79.550	80.055	79.210	79.925	65576	0	4
2013.07.25	79.928	80.423	79.695	79.986	68314	0	5
2013.07.26	79.990	80.205	79.041	79.255	58431	0	2
2013.07.29	79.115	79.325	78.316	78.683	56898	0	1
2013.07.30	78.680	78.786	78.022	78.320	61581	0	1
2013.07.31	78.320	78.370	77.540	77.897	71124	0	3
2013.08.01	77.899	78.689	77.750	78.545	62711	0	5
2013.08.02	78.550	78.715	77.124	77.124	57395	0	2
2013.08.05	76.827	77.286	76.365	76.976	53325	0	4
2013.08.06	76.978	77.554	76.635	76.855	62794	0	3
2013.08.07	76.855	77.242	76.355	76.873	70178	0	1
2013.08.08	76.863	77.557	76.525	77.350	67043	0	1
2013.08.09	77.350	77.613	76.970	77.270	50708	0	9
2013.08.12	77.070	77.794	77.016	77.550	53780	0	4
2013.08.13	77.548	78.491	77.496	78.282	61715	0	1
2013.08.14	78.287	78.951	78.105	78.721	58042	0	7
2013.08.15	78.718	79.391	78.329	78.353	72215	0	1
2013.08.16	78.350	79.305	78.340	78.955	56649	0	2
2013.08.19	79.275	79.880	78.598	78.660	55716	0	5
2013.08.20	78.660	78.823	77.224	77.415	68918	0	3
2013.08.21	77.415	77.630	76.542	76.683	69642	0	4
2013.08.22	76.685	77.572	76.426	77.471	68801	0	7
2013.08.23	77.468	77.658	76.778	76.955	58359	0	6
2013.08.26	76.984	77.580	76.885	77.040	44771	0	2
2013.08.27	77.046	77.085	75.086	75.206	63484	0	5
2013.08.28	75.206	76.497	75.190	76.368	60007	0	4
2013.08.29	76.366	76.739	76.082	76.296	56891	0	7
2013.08.30	76.298	76.512	75.705	75.727	44612	0	8
2013.09.02	76.387	77.920	76.365	77.796	44401	0	1
2013.09.03	77.789	78.151	77.210	77.640	55393	0	4
2013.09.04	77.640	79.013	77.560	78.718	50279	0	8
2013.09.05	78.720	79.145	78.358	78.945	50590	0	7
2013.09.06	78.940	79.476	78.777	79.195	46027	0	2
2013.09.09	79.780	79.967	79.265	79.926	42332	0	5
2013.09.10	79.925	81.101	79.788	80.760	47563	0	5
2013.09.11	80.765	81.333	80.520	81.285	48920	0	5
2013.09.12	81.281	81.377	80.606	80.955	48001	0	1
2013.09.13	80.950	81.278	80.637	80.710	37691	0	11
2013.09.16	81.092	81.230	80.804	81.055	40625	0	9
2013.09.17	81.055	81.869	80.945	81.542	38779	0	10
2013.09.18	81.542	82.445	81.172	82.314	49556	0	1
2013.09.19	82.315	83.666	82.169	83.333	53617	0	5
2013.09.20	83.333	83.488	82.985	82.995	39365	0	9
2013.09.23	83.010	83.078	82.509	82.525	36343	0	10
2013.09.24	82.526	82.585	81.290	81.405	43905	0	7
2013.09.25	81.405	81.578	80.919	81.135	41440	0	1
2013.09.26	81.135	82.162	81.025	81.878	46506	0	10
2013.09.27	81.878	82.076	81.001	81.188	38658	0	7
2013.09.30	80.830	81.908	80.672	81.625	46755	0	1
2013.10.01	81.620	81.932	80.808	80.877	51196	0	3
2013.10.02	80.875	81.177	79.875	80.906	51836	0	3
2013.10.03	80.905	81.496	80.336	80.569	49014	0	8
